Entrepreneur Name,From,Business,Deal,Original Ask,Final Offer,Investors
Aditi Madan (Momo Mami),Darjeeling,Momos(BluePine Foods),Deal,₹50 lakhs5% Equity,₹75 lakhs 16% Equity,"Ashneer, Aman, Vineeta"
Rutvij Dasadia,Ahmedabad,Electric Scooters (Booz),Deal,₹40 lakhs15% Equity,₹40 lakhs50% Equity,"Ashneer, Vineeta"
Riya Khattar,New Delhi,Outfit(Heart Up My Sleeves),Deal,₹25 lakhs 10% Equity,₹25 lakhs30% Equity,"Anupam, Vineeta"
Anish and Sagar,Delhi,Popped Chips(Tagz Foods),Deal,₹70 lakhs 1% Equity,₹70 lakhs  2.75% Equity,Ashneer
Singh Family,Punjab,Brain Training(Head and Heart),No Deal,₹50 lakhs 5% Equity,No Offer,
Pandurang Taware,Maharashtra,Agri Tourism,No Deal,₹50 lakhs5% Equity,No Offer,
Rubal and Srishti,Delhi,Fruit Checker(qZense Labs),No Deal,₹1 crore 0.5% Equity,₹1 crore5% Equity,
Siddhant Tawarawala,Maharashtra,Urine Bag(Peeschute),Deal,₹75 lakhs 4% Equity,₹75 lakhs6% Equity,Aman
Siddharth and Vinay,Bangalore,Energy Drink(NOCD),Deal,₹50 lakhs2% Equity,₹10 lakhs10% Equity ₹30 lakhs Debt,Vineeta
Angad and Kanika,New Delhi,Skincare Serum(Cos IQ),Deal,₹50 lakhs7% Equity,₹50 lakhs25% Equity,"Anupam, Vineeta"
Kalpana and Uma Jha,Bihar,Pickles(JhaJi Store),No Deal,₹50 lakhs10% Equity,No Offer,
Sulay Lavsi,Ahmedabad,Underwears(Bummer),Deal,₹75 lakhs4% Equity,₹75 lakhs7.5% Equity,"Aman, Namita"
"Jayesh, Pritesh and Pushkaraj",Nasik,EV Bike (Revamp Moto Mitra),Deal,₹1 crore1% Equity,₹1 crore1.5% Equity,"Aman, Anupam"
Rahul and Arpit,Mumbai,Maggi(Hungry Head),No Deal,₹50 lakhs5% Equity,No Offer,
Baldev and Jayshree,Nagpur,Belly Button Shaper (Shrawani Engineers),No Deal,₹20 lakhs10% Equity,No Offer,
Ravi and Anuja Kabra,Hyderabad,Popsicles(Skippi Ice Pops),Deal,₹45 lakhs5% Equity,₹1 crore15% Equity,All Sharks Deal
Tuhin and Aditi,Ahmedabad,Comic Book(Menstrupedia),Deal,₹50 lakhs10% Equity,₹50 lakhs20% Equity,Namita
Deepthi Nathala,Hyderabad,Fabrics(Hecoll),No Deal,₹1 crore1% Equity,No Offer,
Raghav and Shraddha,Delhi,Kids Tutor(Raising Superstars),Deal,₹1 crore2% Equity,₹1 crore4% Equity,"Ashneer, Aman"
Hunny Bhagchandnani,Ahmedabad,Device for visually impaired(Torch It),No Deal,₹75 lakhs1% Equity,₹50 lakhs2.5% Equity₹25 lakhs Debt,
"Shivang, Shivika and Sonia",Pune,Kheer(La Kheer Deli),No Deal,₹50 lakhs7.5% Equity,₹50 lakhs25% Equity,
Manas Madhu,Kerala,Banana Chips(Beyond Snack),Deal,₹50 lakhs2.5% Equity,₹50 lakhs2.5% Equity,"Aman, Ashneer"
Duvvuru and Vimal,Hyderabad,Diabetes Device(Vivalfy Innovations),Deal,₹56 lakhs7.5% Equity,₹56 lakhs33.33% Equity,"Anupam, Peyush"
"Kartikey, Anant, Shivraj and Deepen",Vadodara,EV Bike(Motion Breeze),Deal,₹30 lakhs3% Equity,₹30 lakhs6% Equity,Ashneer
"Bilal, Sayan, Shamik and Anirban",Kolkata,Smart Helmets(Altor),Deal,₹50 lakhs5% Equity,₹50 lakhs7% Equity,"Namita, Aman"
Vasanth and Nisha,Chennai,Wooden Toys(Ariro Pvt Ltd),Deal,₹50 lakhs2.5% Equity,₹50 lakhs10% Equity,"Aman, Peyush"
Dr. Manoj and Nirmala,Jaipur,Grocery(Kabira Handmad),No Deal,₹1 crore5% Equity,₹25 lakhs 10% Equity₹75 lakhs Debt,
Ananya and Anushree Maloo,Ahmedabad,Male Intimate Hygiene(Nuutjob),Deal,₹25 lakhs5% Equity,₹25 lakhs20% Equity,"Namita, Aman, Peyush"
"Arnav, Sai and Vardhaman Gandhi",Pune,Egg(Meatyour),Deal,₹30 lakhs5% Equity,₹30 lakhs20% Equity,"Anupam, Aman, Peyush"
"Venkatesh, Sourabh and Rakhi",Pune,Student Social Community(EventBeep),Deal,₹30 lakhs2% Equity,₹30 lakhs3% Equity,"Aman, Ashneer, Peyush"
Gaurav Goyal,Delhi,Ice Cream (Gopal’s 56),No Deal,₹300 crores25% Equity,No Offer,
"Mohammad, Saransh and Kranti",New Delhi,Texture Paint(Arrcoat Surface Textures),Deal,₹50 lakhs5% Equity,₹50 lakhs15% Equity,Anupam
Chahat and Sanskar,Nagpur,Streetwear Fashion (Farda),Deal,₹30 lakhs10% Equity,₹30 lakhs20% Equity,"Aman, Namita"
Aishwarya Biswas,Kolkata,Skincare Products(Auli Lifestyle),Deal,₹75 lakhs4% Equity,₹75 lakhs15% Equity,Namita
